Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
09/11/2023	UPA St. John - Lavras	Quinta-feira	6	19	25	46	7	81	2	67	72	1	61	2	68	62	61	71	67	69	65	53	17	32	18	19
10/11/2023	UPA St. John - Lavras	Sexta-feira	27	27	21	43	55	64	71	64	4	69	82	68	68	70	77	75	86	87	75	64	57	47	34	28
11/11/2023	UPA St. John - Lavras	Sábado	32	32	24	38	54	65	65	5	56	54	62	69	79	0	55	59	76	49	75	69	64	13	27	14
12/11/2023	UPA St. John - Lavras	Domingo	12	6	4	20	41	4	2	35	1	43	35	3	51	47	43	43	59	46	56	29	37	30	28	23
13/11/2023	UPA St. John - Lavras	Segunda-feira	16	22	17	36	58	64	27	66	2	60	75	60	1	48	56	63	100	93	79	55	31	16	22	15
14/11/2023	UPA St. John - Lavras	Terça-feira	13	17	7	41	64	58	53	60	75	1	63	69	62	2	3	65	69	6	74	61	50	46	20	16
15/11/2023	UPA St. John - Lavras	Quarta-feira	24	6	18	27	3	50	61	35	63	76	82	2	73	1	80	67	2	5	61	47	45	32	18	10
16/11/2023	UPA St. John - Lavras	Quinta-feira	12	17	27	38	36	55	53	52	49	50	49	63	72	62	61	67	73	84	80	80	50	42	31	24
17/11/2023	UPA St. John - Lavras	Sexta-feira	30	31	30	50	50	48	58	81	60	67	66	58	36	47	51	62	71	71	65	13	53	0	12	14
18/11/2023	UPA St. John - Lavras	Sábado	19	17	24	25	44	54	38	50	50	4	49	53	32	60	59	64	81	81	80	77	70	46	26	18
19/11/2023	UPA St. John - Lavras	Domingo	4	2	13	24	33	41	48	40	36	1	42	46	49	39	49	46	70	73	50	33	30	31	25	25
20/11/2023	UPA St. John - Lavras	Segunda-feira	25	26	21	22	29	50	37	45	4	45	50	3	51	58	48	69	59	53	44	39	35	43	24	11
21/11/2023	UPA St. John - Lavras	Terça-feira	14	20	31	47	68	67	63	0	51	76	89	90	72	2	4	83	94	2	93	0	54	0	21	16
22/11/2023	UPA St. John - Lavras	Quarta-feira	23	12	17	49	67	65	54	2	48	64	68	70	55	9	1	5	19	10	6	0	0	0	27	4
23/11/2023	UPA St. John - Lavras	Quinta-feira	7	11	23	21	15	13	6	1	1	8	4	3	6	2	15	11	0	1	0	7	12	14	0	0
24/11/2023	UPA St. John - Lavras	Sexta-feira	4	3	NA	NA	NA	NA	4	3	3	9	6	5	11	17	11	7	15	9	8	3	0	0	0	1
25/11/2023	UPA St. John - Lavras	Sábado	0	NA	NA	NA	1	6	24	24	3	NA	7	7	5	0	12	11	4	4	3	0	0	0	2	0
26/11/2023	UPA St. John - Lavras	Domingo	0	9	10	4	NA	5	5	4	1	3	8	13	7	5	2	14	8	12	3	6	0	0	0	3
27/11/2023	UPA St. John - Lavras	Segunda-feira	3	4	6	NA	NA	10	11	9	6	6	1	7	6	28	11	8	11	3	1	0	NA	0	0	0
28/11/2023	UPA St. John - Lavras	Terça-feira	4	8	11	11	3	10	8	0	NA	6	7	12	13	8	17	32	31	0	0	3	0	0	0	3
29/11/2023	UPA St. John - Lavras	Quarta-feira	1	4	7	14	9	7	7	6	7	1	NA	16	12	12	5	16	21	4	1	0	0	0	0	0
30/11/2023	UPA St. John - Lavras	Quinta-feira	2	7	8	8	19	6	5	3	2	2	0	19	18	2	10	10	14	21	18	0	1	0	0	0
01/12/2023	UPA St. John - Lavras	Sexta-feira	5	4	5	NA	6	2	7	6	3	NA	NA	3	15	17	3	NA	22	22	21	0	NA	0	0	0
02/12/2023	UPA St. John - Lavras	Sábado	0	3	4	19	18	3	26	26	10	8	3	2	7	9	10	0	10	11	10	0	2	0	1	5
03/12/2023	UPA St. John - Lavras	Domingo	0	2	5	7	13	6	4	1	5	4	5	2	2	0	NA	NA	NA	9	10	0	0	0	0	4
04/12/2023	UPA St. John - Lavras	Segunda-feira	8	6	8	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10	9	5	3	0	0	0	0	2
05/12/2023	UPA St. John - Lavras	Terça-feira	0	NA	NA	NA	NA	NA	11	10	0	3	5	5	2	NA	21	12	12	5	0	0	0	0	0	0
06/12/2023	UPA St. John - Lavras	Quarta-feira	1	4	6	9	6	4	4	0	NA	NA	8	8	2	NA	NA	46	67	74	52	49	0	35	22	16
07/12/2023	UPA St. John - Lavras	Quinta-feira	20	18	20	46	44	3	68	52	47	1	2	39	42	53	30	11	72	3	75	58	59	40	22	9
08/12/2023	UPA St. John - Lavras	Sexta-feira	15	3	26	40	38	21	35	29	30	36	2	45	40	39	56	47	71	54	17	33	20	23	22	13
09/12/2023	UPA St. John - Lavras	Sábado	20	21	23	27	37	52	59	39	33	39	46	52	49	51	41	55	53	49	42	35	35	24	18	18
10/12/2023	UPA St. John - Lavras	Domingo	15	17	13	23	36	27	31	27	27	34	38	44	43	40	45	50	60	63	65	52	21	18	14	16
11/12/2023	UPA St. John - Lavras	Segunda-feira	18	20	27	38	51	53	44	57	57	61	57	57	49	63	74	66	83	75	73	57	44	43	23	17
12/12/2023	UPA St. John - Lavras	Terça-feira	13	15	26	32	54	64	58	64	58	66	60	70	71	64	73	73	60	57	52	48	42	36	21	19
13/12/2023	UPA St. John - Lavras	Quarta-feira	15	23	26	37	60	45	47	51	68	74	74	61	59	53	52	64	100	100	96	63	50	27	15	22
14/12/2023	UPA St. John - Lavras	Quinta-feira	12	20	28	63	88	60	66	58	68	61	NA	57	61	52	57	72	100	88	60	55	41	43	30	12
15/12/2023	UPA St. John - Lavras	Sexta-feira	12	14	36	41	64	55	43	50	52	61	57	49	53	48	50	51	80	84	79	64	49	50	35	18
16/12/2023	UPA St. John - Lavras	Sábado	21	18	19	31	40	48	43	46	45	46	37	55	59	62	42	52	72	64	53	56	43	31	24	28
17/12/2023	UPA St. John - Lavras	Domingo	27	23	22	35	41	35	37	49	54	43	39	45	38	46	49	62	60	59	51	38	25	33	34	19
18/12/2023	UPA St. John - Lavras	Segunda-feira	12	17	28	42	62	78	69	71	75	61	55	54	47	47	55	88	100	100	100	78	65	33	36	8
19/12/2023	UPA St. John - Lavras	Terça-feira	12	16	23	32	67	70	67	75	63	66	50	62	68	78	62	75	88	81	83	48	49	41	23	12
20/12/2023	UPA St. John - Lavras	Quarta-feira	5	26	37	53	72	61	61	65	89	80	75	67	58	61	71	74	97	95	75	64	61	42	22	18
21/12/2023	UPA St. John - Lavras	Quinta-feira	2	16	25	47	51	71	55	45	43	58	64	42	50	53	58	62	90	98	81	69	55	58	37	28
22/12/2023	UPA St. John - Lavras	Sexta-feira	17	24	25	40	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/12/2023	UPA St. John - Lavras	Sábado	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/12/2023	UPA St. John - Lavras	Domingo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/12/2023	UPA St. John - Lavras	Segunda-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/12/2023	UPA St. John - Lavras	Terça-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2023	UPA St. John - Lavras	Quarta-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/12/2023	UPA St. John - Lavras	Quinta-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	100	100	100	100	73	100
29/12/2023	UPA St. John - Lavras	Sexta-feira	44	36	75	78	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	74	31
