Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
04/09/2023	UPA St. John - Lavras	Segunda-feira	25	23	44	45	71	79	84	75	48	53	66	84	85	99	79	84	99	98	64	59	46	42	40	31
05/09/2023	UPA St. John - Lavras	Terça-feira	10	29	31	54	72	81	68	68	86	83	73	70	59	60	81	81	96	100	92	87	69	46	29	21
06/09/2023	UPA St. John - Lavras	Quarta-feira	20	28	43	39	52	66	59	64	61	49	63	67	72	65	63	86	100	99	83	81	73	61	36	18
07/09/2023	UPA St. John - Lavras	Quinta-feira	5	16	36	42	64	59	43	53	62	77	66	62	67	69	73	72	74	52	70	52	54	60	40	30
08/09/2023	UPA St. John - Lavras	Sexta-feira	20	25	27	35	49	46	40	46	78	80	69	70	67	79	79	100	100	81	69	54	65	42	31	28
09/09/2023	UPA St. John - Lavras	Sábado	17	17	33	39	54	51	53	54	49	55	56	78	68	55	64	60	89	77	64	65	64	47	35	22
10/09/2023	UPA St. John - Lavras	Domingo	5	16	17	27	46	38	53	56	45	59	63	51	44	60	54	78	7	68	92	69	48	38	15	24
11/09/2023	UPA St. John - Lavras	Segunda-feira	19	30	34	57	69	77	67	46	49	69	68	83	87	85	42	87	98	100	76	74	51	39	23	25
12/09/2023	UPA St. John - Lavras	Terça-feira	28	26	42	70	83	92	68	82	59	56	66	71	65	60	78	100	100	100	98	78	61	44	25	23
13/09/2023	UPA St. John - Lavras	Quarta-feira	15	26	44	77	86	89	80	63	56	50	61	52	82	85	85	100	100	100	91	71	74	72	49	27
14/09/2023	UPA St. John - Lavras	Quinta-feira	18	16	26	52	86	100	100	90	89	80	64	63	53	53	67	85	100	73	86	63	47	37	27	11
15/09/2023	UPA St. John - Lavras	Sexta-feira	9	25	49	73	85	89	100	88	95	75	93	93	92	85	87	85	100	100	90	87	66	44	34	25
16/09/2023	UPA St. John - Lavras	Sábado	12	27	37	70	71	67	44	43	50	60	67	67	73	68	61	61	81	83	75	16	12	0	0	0
17/09/2023	UPA St. John - Lavras	Domingo	0	1	2	4	13	12	77	27	22	10	3	57	29	12	4	2	14	81	8	2	0	0	0	5
18/09/2023	UPA St. John - Lavras	Segunda-feira	2	4	7	20	4	5	4	18	24	86	10	27	66	86	80	100	100	100	85	70	78	48	33	27
19/09/2023	UPA St. John - Lavras	Terça-feira	36	30	41	64	91	100	79	80	84	79	77	84	82	93	100	100	100	100	88	66	54	58	30	18
20/09/2023	UPA St. John - Lavras	Quarta-feira	11	19	34	54	75	88	89	80	84	94	75	82	76	89	94	62	100	100	93	76	57	57	31	25
21/09/2023	UPA St. John - Lavras	Quinta-feira	18	22	25	69	70	19	94	74	88	90	80	76	73	80	75	86	100	100	100	100	95	81	45	21
22/09/2023	UPA St. John - Lavras	Sexta-feira	20	38	49	75	73	84	52	93	77	76	74	82	73	93	94	100	100	100	93	68	73	59	24	25
23/09/2023	UPA St. John - Lavras	Sábado	6	28	31	49	64	67	75	65	64	73	70	53	49	61	76	85	81	85	75	77	69	59	49	32
24/09/2023	UPA St. John - Lavras	Domingo	37	23	24	48	71	71	71	66	69	72	52	50	54	69	79	78	80	80	78	65	54	38	29	22
25/09/2023	UPA St. John - Lavras	Segunda-feira	21	33	46	84	87	88	67	54	90	79	93	84	92	100	100	100	100	100	99	81	92	58	42	23
26/09/2023	UPA St. John - Lavras	Terça-feira	22	33	37	72	86	95	72	89	87	79	74	93	100	100	79	90	100	100	77	66	64	46	39	20
