Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
13/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	13	7	17	57	68	74	71	66	61	49	75	65	61	82	97	100	80	49	30	27	25	29	16	18
14/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	21	26	27	44	70	76	93	60	75	84	97	50	74	78	77	84	60	73	60	55	8	11	19	0
15/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	10	19	23	31	55	65	75	81	72	95	86	100	100	94	100	100	100	76	37	49	34	25	15	15
16/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	7	9	7	31	27	57	79	71	100	95	85	76	63	68	64	100	91	6	1	0	0	0	0	5
17/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	0	1	6	NA	14	16	77	87	9	92	16	27	6	19	2	9	0	1	5	0	36	19	1	0
18/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	10	17	6	6	8	8	7	5	11	17	11	15	61	63	90	100	100	76	48	44	17	19	21	10
19/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	6	9	22	49	58	76	84	94	96	58	85	71	53	66	100	100	100	79	51	44	20	25	24	17
20/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	19	23	16	39	87	99	3	72	66	80	88	67	73	75	100	63	100	83	56	32	30	13	12	12
21/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	8	15	15	45	78	4	100	86	92	66	72	61	59	93	100	100	100	76	67	38	26	27	11	18
22/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	13	18	28	53	8	59	30	85	44	60	71	98	60	76	100	100	100	85	58	36	13	16	2	10
23/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	11	4	11	35	46	61	85	79	97	100	85	94	94	96	93	72	100	83	89	69	60	50	56	45
24/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	30	26	16	22	44	48	73	82	100	64	62	42	45	31	28	65	77	69	49	35	22	19	10	16
25/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	15	12	20	60	70	71	64	97	80	68	87	74	75	91	100	100	100	80	51	21	16	16	6	0
26/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	14	15	11	39	86	100	79	72	75	67	82	80	76	60	90	100	100	72	52	53	20	17	16	8
27/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	20	16	28	48	73	84	71	54	48	64	83	58	49	60	56	59	86	63	51	35	21	20	16	6
28/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	16	14	14	29	54	40	40	63	38	39	50	50	37	38	71	83	68	40	21	9	4	0	5	7
29/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	14	7	14	38	41	43	63	47	32	44	52	80	89	64	83	73	53	52	41	35	20	16	0	3
30/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	5	6	7	24	42	50	46	50	81	60	76	59	69	75	71	71	73	65	47	34	20	27	9	18
01/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	8	7	14	24	40	40	38	38	24	37	41	40	32	44	52	56	47	43	30	13	9	5	6	8
02/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	4	7	10	13	38	53	62	41	58	52	63	65	61	60	70	67	69	30	32	24	7	8	9	18
03/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	14	14	14	27	45	56	45	57	51	54	45	60	47	53	74	55	69	45	31	27	17	14	9	11
04/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	7	12	17	28	61	45	41	33	31	40	47	37	54	50	47	31	43	36	32	27	11	2	1	2
05/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	3	12	11	18	35	43	37	40	53	47	43	38	40	52	55	66	55	33	27	18	10	13	3	0
06/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	2	5	13	14	36	39	48	33	42	46	46	49	50	38	66	79	72	32	27	25	9	15	17	3
07/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	5	1	3	16	33	42	45	47	49	49	34	40	53	40	23	44	22	20	18	16	8	11	4	3
08/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	0	1	9	9	17	36	23	46	42	40	32	29	22	26	39	73	54	36	28	16	17	9	5	5
09/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	6	4	19	23	24	39	57	43	38	39	26	27	33	47	62	51	47	37	19	23	13	10	6	7
10/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	4	10	16	28	40	54	47	31	32	42	37	28	32	41	48	53	36	38	28	20	10	4	2	1
11/10/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	3	3	11	24	30	39	30	32	27	29	28	26	21	29	56	46	52	57	28	25	7	13	6	4
