epidemiological_weeks	detecta_percentage_mean	radim_posrate_sc2	sivep_cases_sc2	radim_posrate_denv	infodengue_cases_denv	radim_posrate_vrisp	sivep_vrisp_cases	sivep_cases_sc2_norm	infodengue_cases_denv_norm	sivep_vrisp_cases_norm
2024-04-06	50.14495798319327	5.121510343442458	145	28.805062458908615	78326	11.05711508775942	941	14.518317503392131	91.80679954213427	91.88235294117646
2024-04-13	49.80826026062599	3.6293592862935937	127	36.86185180222431	82253	10.633433701349391	985	12.075983717774763	96.44091997970285	97.05882352941177
2024-04-20	49.41359152356595	3.3684210526315788	96	35.05362863908623	82481	10.561221646324473	1010	7.869742198100408	96.70997510060066	100.0
2024-04-27	52.05427170868347	2.9137760158572843	63	35.81054300435989	76803	10.389289595889734	872	3.3921302578018993	90.00955853718979	83.76470588235294
2024-05-04	49.131211180124225	2.4294156270518714	56	35.85569731632204	78554	8.913574997342405	810	2.4423337856173677	92.07585466303206	76.47058823529412
2024-05-11	50.55105125053974	2.544642857142857	43	39.84338708607074	85269	7.567208762031198	673	0.6784260515603799	100.0	60.35294117647059
2024-05-18	47.1186974789916	1.869618696186962	38	40.92379706752943	79627	7.240620799217891	624	0.0	93.34206582409932	54.58823529411765
2024-05-25	44.14705882352941	1.639344262295082	49	39.40964044590988	60517	7.059741272833647	555	1.4925373134328357	70.79099845411312	46.470588235294116
2024-06-01	35.215434395101916	2.135854341736694	49	39.11155230177442	39204	7.418856259659969	503	1.4925373134328357	45.64024498176798	40.35294117647059
2024-06-08	35.73536217127608	2.7427931710047577	56	21.395144779175197	29464	7.282913165266107	579	2.4423337856173677	34.14639902762535	49.29411764705882
2024-06-15	37.598152897522645	3.1928161636318286	59	18.843191872849417	28085	7.405320813771518	554	2.8493894165535956	32.51908757272159	46.35294117647059
2024-06-22	40.64827670198515	3.730595893840761	82	18.19526627218935	24309	6.91992837042722	590	5.970149253731343	28.0631571494318	50.588235294117645
2024-06-29	39.818901473632934	4.3721674220207944	73	16.313645621181262	16654	7.752965343582267	486	4.74898236092266	19.029749471920322	38.35294117647059
2024-07-06	40.68264578558696	4.947829013800067	79	14.003819223424571	10920	7.236957667310732	477	5.563093622795115	12.263249194604736	37.29411764705882
2024-07-13	36.01136778822201	7.291666666666667	80	10.3397341211226	7565	7.965130164795796	382	5.698778833107191	8.304126691920086	26.11764705882353
2024-07-20	35.059682964094726	8.936698386429457	118	8.493827160493828	6445	7.474518686296716	380	10.854816824966079	6.982452413825657	25.882352941176475
2024-07-27	36.468784944807965	11.185588604943444	128	7.166301969365427	5794	7.548065511511987	369	12.211668928086839	6.21422923968327	24.58823529411765
2024-08-03	32.462679538218445	13.827838827838828	137	6.453715775749674	4476	7.865021008403361	325	13.432835820895523	4.658901830282862	19.411764705882355
2024-08-10	40.80547713156409	18.783473603672533	199	4.779189352692075	4073	9.142475809142477	330	21.845318860244234	4.183335103432813	20.0
2024-08-17	48.11242678889738	21.936507936507937	342	3.7622272385252074	3316	10.712595817166653	539	41.2483039348711	3.2900248993993464	44.588235294117645
2024-08-24	50.55604663254452	23.628865979381445	453	2.735562310030395	3440	11.846973973032298	667	56.30936227951153	3.436353123045515	59.647058823529406
2024-08-31	44.055337063849045	21.037324285021818	435	4.096170970614425	2991	11.873410145144396	637	53.86702849389417	2.9065033454880167	56.11764705882353
2024-09-07	45.88680373335104	17.12864250177683	406	2.39477503628447	3490	11.977417280068606	618	49.93215739484396	3.4953564390318737	53.88235294117647
2024-09-14	46.100718548288874	13.093167701863354	326	1.8494897959183672	3480	11.42159327634509	574	39.07734056987788	3.4835557758346023	48.705882352941174
2024-09-21	41.17837352332237	12.112595962468012	223	1.466275659824047	3113	11.902113459399333	446	25.10176390773406	3.050471436494731	33.64705882352941
2024-09-28	38.95773961758617	8.310401761144744	186	1.574803149606299	3186	11.484431571325128	427	20.081411126187245	3.136616277834815	31.411764705882355
2024-10-05	41.00488456252066	7.658058771148708	140	1.9087136929460584	2658	11.2254371035123	363	13.83989145183175	2.513541261018869	23.88235294117647
2024-10-12	42.469834087481146	6.446540880503145	136	1.8535681186283597	2365	9.82201713909031	354	13.297150610583447	2.167781829338809	22.823529411764707
