Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
26/09/2023	UPA Vila Assis	Terça-feira	12	4	8	39	69	73	64	71	57	48	67	65	44	57	58	60	64	71	54	47	40	27	23	18
27/09/2023	UPA Vila Assis	Quarta-feira	1	10	23	42	64	66	63	81	79	77	93	75	62	46	59	62	63	62	53	39	13	11	12	17
28/09/2023	UPA Vila Assis	Quinta-feira	14	13	14	28	52	63	58	43	39	54	56	51	30	40	62	68	56	55	46	31	15	15	13	6
29/09/2023	UPA Vila Assis	Sexta-feira	24	19	30	36	44	56	60	55	59	58	65	49	49	62	72	74	58	54	36	43	27	20	7	15
30/09/2023	UPA Vila Assis	Sábado	14	9	16	23	45	48	51	55	1	78	64	56	77	61	58	46	55	48	41	43	26	13	8	11
01/10/2023	UPA Vila Assis	Domingo	33	14	20	27	38	40	52	46	61	66	66	41	54	45	54	64	57	42	28	32	18	7	5	0
02/10/2023	UPA Vila Assis	Segunda-feira	1	11	6	31	41	42	33	36	50	64	54	40	55	43	61	68	59	43	61	51	36	8	10	9
03/10/2023	UPA Vila Assis	Terça-feira	7	2	23	21	31	37	53	67	66	64	43	40	35	29	41	62	62	44	31	34	17	24	12	7
04/10/2023	UPA Vila Assis	Quarta-feira	7	5	11	19	28	41	43	55	54	50	55	62	50	38	45	40	34	35	38	16	15	19	22	5
05/10/2023	UPA Vila Assis	Quinta-feira	1	8	16	26	36	42	36	39	35	46	63	55	47	42	27	61	38	28	29	28	19	20	16	19
06/10/2023	UPA Vila Assis	Sexta-feira	21	5	13	24	40	49	58	29	30	58	47	48	39	33	29	31	48	29	31	32	30	14	5	7
07/10/2023	UPA Vila Assis	Sábado	13	12	12	23	44	43	39	39	39	34	24	34	52	38	38	41	40	44	42	39	21	15	11	3
08/10/2023	UPA Vila Assis	Domingo	6	11	10	20	30	47	56	65	62	59	45	23	19	26	22	39	36	19	15	9	3	1	5	7
09/10/2023	UPA Vila Assis	Segunda-feira	6	8	8	27	39	28	45	46	38	56	49	50	26	47	55	56	47	44	41	29	25	15	7	15
10/10/2023	UPA Vila Assis	Terça-feira	7	7	11	18	35	35	43	37	54	56	48	52	51	47	54	51	55	50	24	26	12	6	4	4
11/10/2023	UPA Vila Assis	Quarta-feira	7	6	15	30	33	35	38	42	36	31	46	44	43	34	33	48	51	51	41	47	18	11	0	1
12/10/2023	UPA Vila Assis	Quinta-feira	4	9	10	18	29	30	40	33	35	39	50	59	46	52	36	36	27	26	31	21	13	12	6	8
13/10/2023	UPA Vila Assis	Sexta-feira	4	12	11	18	25	24	24	32	31	37	40	37	31	25	34	47	52	50	37	24	24	11	3	7
14/10/2023	UPA Vila Assis	Sábado	16	2	11	34	34	31	46	44	38	36	45	56	49	34	31	36	37	37	40	18	8	6	9	14
15/10/2023	UPA Vila Assis	Domingo	10	22	20	21	32	42	58	83	93	84	77	45	33	36	37	43	28	28	26	24	19	6	5	3
16/10/2023	UPA Vila Assis	Segunda-feira	0	7	5	15	38	33	37	40	44	43	42	41	59	55	47	59	49	49	35	25	27	13	9	3
17/10/2023	UPA Vila Assis	Terça-feira	12	12	21	21	39	38	35	30	43	23	32	34	37	53	39	54	55	57	49	36	23	33	18	11
18/10/2023	UPA Vila Assis	Quarta-feira	15	12	16	26	22	35	45	55	51	35	27	36	42	34	42	51	48	54	54	38	26	21	19	17
19/10/2023	UPA Vila Assis	Quinta-feira	16	14	24	43	49	47	32	40	51	44	46	55	39	43	55	3	60	59	24	20	18	16	5	3
20/10/2023	UPA Vila Assis	Sexta-feira	9	7	10	24	39	50	45	50	57	68	50	41	53	71	59	66	52	45	21	17	27	18	8	5
21/10/2023	UPA Vila Assis	Sábado	11	14	7	18	27	42	46	53	62	55	62	54	61	46	49	46	40	33	31	23	18	15	18	7
22/10/2023	UPA Vila Assis	Domingo	6	7	16	32	55	57	69	92	85	76	53	27	20	25	45	43	41	47	30	23	20	14	8	3
23/10/2023	UPA Vila Assis	Segunda-feira	10	9	15	34	6	57	54	41	43	1	1	0	1	63	59	63	59	64	0	31	29	22	0	0
24/10/2023	UPA Vila Assis	Terça-feira	11	5	12	31	12	53	49	37	34	35	47	54	60	61	60	66	70	68	46	44	36	25	16	13
25/10/2023	UPA Vila Assis	Quarta-feira	15	4	9	30	49	55	54	44	54	51	63	77	64	57	50	57	75	63	44	22	15	8	7	8
26/10/2023	UPA Vila Assis	Quinta-feira	8	5	16	29	44	54	52	51	47	55	62	77	64	49	53	1	79	67	46	32	22	22	5	4
27/10/2023	UPA Vila Assis	Sexta-feira	6	5	12	21	47	56	57	47	49	63	48	44	36	36	48	64	62	54	32	28	21	6	5	7
28/10/2023	UPA Vila Assis	Sábado	8	8	17	22	35	21	35	43	49	52	56	59	60	55	77	55	53	47	36	39	39	23	26	20
29/10/2023	UPA Vila Assis	Domingo	13	13	3	26	38	50	62	100	100	100	0	53	25	33	39	46	31	30	34	28	20	8	0	2
30/10/2023	UPA Vila Assis	Segunda-feira	3	3	9	28	45	53	2	67	62	53	44	60	61	53	79	69	79	80	52	35	31	32	38	40
31/10/2023	UPA Vila Assis	Terça-feira	14	16	20	43	43	24	80	78	61	49	62	58	63	82	70	72	71	53	53	18	29	24	12	11
