Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
01/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	NA	NA	NA	NA	NA	30	15	19	9	11	12	9	0	NA	34	32	0	5	9	9	0	0	0	NA
02/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	NA	NA	NA	NA	16	13	2	13	13	14	12	12	10	8	0	0	2	4	4	0	0	0	0	0
03/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	1	3	2	5	5	2	4	7	6	9	14	13	0	NA	NA	1	2	0	0	0	0	0	0	0
04/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	NA	7	10	25	15	10	2	NA	NA	NA	NA	22	19	0	NA	NA	0	0	0	NA	NA	1	0	2
05/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	2	9	19	26	24	6	21	21	23	12	18	5	3	7	10	10	0	NA	7	6	0	0	1	3
06/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	3	NA	10	15	12	21	17	0	NA	NA	26	23	0	NA	NA	70	75	70	0	28	0	24	0	13
07/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	8	13	24	12	77	56	53	80	62	64	100	100	93	92	0	NA	59	61	45	29	25	19	27	12
08/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	11	7	23	39	22	14	100	78	71	86	19	77	100	82	78	69	47	55	39	35	0	28	11	14
09/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	15	20	27	46	64	71	68	57	53	56	74	71	63	56	62	45	56	37	38	28	20	21	13	14
10/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	6	3	13	18	30	31	30	36	47	40	50	46	45	48	44	45	36	23	17	16	7	8	11	8
11/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	3	6	20	40	67	74	86	79	71	91	92	98	82	83	98	75	78	52	42	35	20	14	7	9
12/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	5	10	27	42	70	83	100	96	82	78	67	74	86	97	62	60	61	45	43	29	24	16	6	9
13/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	13	8	14	33	79	88	78	79	76	83	78	78	72	66	66	58	86	52	29	30	25	15	16	9
14/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	7	11	21	50	85	76	91	88	88	92	95	92	95	75	53	61	68	50	40	39	28	13	3	6
15/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	6	12	20	51	87	95	90	82	67	84	74	90	92	85	56	64	65	56	50	46	29	31	21	16
16/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	12	16	18	34	53	60	58	60	18	70	74	49	55	41	50	50	35	26	37	23	23	28	0	0
17/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	12	14	9	20	35	46	34	44	52	48	40	35	49	37	32	40	48	33	19	14	3	8	2	2
18/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	5	11	19	38	85	100	77	94	86	94	80	83	90	78	77	85	87	59	39	24	19	7	16	13
19/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	13	9	27	49	98	99	96	95	100	100	100	100	100	100	87	77	75	64	54	33	25	28	6	10
20/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	10	16	28	48	95	100	100	91	75	78	99	0	77	72	81	67	56	49	45	23	18	17	16	10
21/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	18	22	22	49	88	91	100	82	94	100	100	100	100	88	81	77	82	45	45	37	26	18	0	18
22/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	18	15	24	47	95	100	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	100	100	100	100	100	69	83	65	51	51	37	36
29/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	35	20	28	58	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	66	44	30	27
30/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	19	28	35	57	100	100	100	100	100	100	99	92	100	100	93	100	81	65	50	49	33	20	20	5
31/12/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	12	14	22	34	59	71	62	74	100	91	85	79	81	76	60	65	69	61	19	24	19	35	10	17
01/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	21	23	31	29	45	44	34	22	42	54	30	34	34	50	17	23	21	22	27	14	7	9	2	5
02/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	5	17	10	41	68	73	67	70	78	74	76	60	68	74	71	72	76	63	46	36	30	6	25	14
03/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	13	15	28	56	77	96	97	89	80	83	97	89	69	98	75	55	59	39	39	33	25	28	28	14
04/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	14	15	34	53	86	92	84	69	91	84	98	86	73	77	85	72	66	43	32	23	20	16	16	9
05/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	13	16	26	42	82	94	91	100	99	100	100	100	84	83	71	57	71	44	41	33	32	10	12	7
06/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	8	14	28	40	42	60	65	69	72	61	80	94	73	71	64	56	76	46	30	28	23	18	13	10
07/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	6	10	8	8	26	27	26	31	35	48	29	40	31	30	38	38	36	7	18	13	18	23	22	20
08/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	13	11	22	44	42	82	94	86	83	93	94	100	100	83	49	68	53	39	31	23	27	29	9	8
09/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	12	13	25	43	73	74	79	69	75	79	74	81	74	63	49	49	49	38	29	25	14	10	8	6
10/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	11	14	19	42	62	60	64	60	74	83	88	77	57	72	68	52	47	37	35	35	21	11	11	13
11/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	9	11	23	39	57	66	66	66	79	73	66	79	67	59	61	55	58	32	22	23	17	12	7	9
12/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	6	9	21	37	55	62	57	72	69	65	67	76	76	53	39	42	48	33	30	27	16	14	6	9
13/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	7	12	15	24	45	53	48	48	49	58	43	50	54	49	40	40	29	23	16	12	26	6	5	4
14/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	9	8	7	14	34	30	50	30	40	49	37	30	36	40	39	28	30	32	26	16	15	8	12	8
15/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	11	14	21	36	57	83	74	75	67	65	76	72	61	68	58	62	60	43	31	32	20	17	12	10
16/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	9	14	21	46	77	81	3	89	79	72	75	74	72	62	53	63	64	41	38	26	29	22	22	5
17/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	9	10	22	42	77	74	80	76	75	73	69	84	60	86	68	81	55	32	33	0	23	15	7	9
18/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	8	10	18	50	70	79	82	82	76	80	82	88	86	83	0	54	48	43	40	35	24	19	10	11
19/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	13	11	19	45	75	93	92	82	82	79	82	95	94	84	64	65	64	43	34	20	15	11	13	12
20/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	10	13	20	31	54	61	50	56	58	69	70	65	70	56	53	43	33	35	30	21	18	17	19	11
21/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	8	8	10	10	37	47	52	40	41	55	39	34	30	41	29	31	33	23	18	10	10	6	6	5
22/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	8	9	21	37	48	61	82	100	98	95	86	88	91	90	74	72	76	52	41	35	20	13	10	12
23/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	6	15	11	49	57	65	73	74	67	66	0	84	89	80	69	68	51	46	45	20	16	13	15	11
24/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	17	12	23	47	74	87	91	91	93	98	91	96	93	87	70	69	60	43	41	32	16	9	10	13
25/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	11	14	19	28	55	50	49	48	60	64	56	54	51	58	41	43	43	39	32	22	16	10	9	11
26/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	8	12	21	38	61	63	83	88	75	87	82	90	85	69	71	82	93	64	39	35	29	22	18	14
27/01/2024	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	13	14	24	30	63	77	73	72	63	64	72	63	73	88	69	66	65	40	37	36	33	21	15	13
