Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
29/12/2023	Unidade Avançada Carlos Chagas	Sexta-feira	30	27	10	44	100	100	100	100	100	100	100	100	100	100	100	100	55	100	63	86	44	48	39	80
30/12/2023	Unidade Avançada Carlos Chagas	Sábado	33	27	22	44	100	100	75	87	100	85	100	84	100	100	90	100	100	98	100	95	75	59	42	30
31/12/2023	Unidade Avançada Carlos Chagas	Domingo	29	3	2	13	41	48	44	81	100	100	98	66	43	39	1	72	92	38	47	25	12	1	28	21
01/01/2024	Unidade Avançada Carlos Chagas	Segunda-feira	33	9	65	21	57	65	44	14	14	58	52	61	42	22	24	29	47	35	18	19	14	8	0	12
02/01/2024	Unidade Avançada Carlos Chagas	Terça-feira	0	10	21	27	46	87	73	83	90	100	100	100	88	64	58	43	57	56	42	34	13	15	16	14
03/01/2024	Unidade Avançada Carlos Chagas	Quarta-feira	13	15	7	34	76	100	100	100	93	100	87	88	76	81	47	61	62	1	50	44	28	28	17	12
04/01/2024	Unidade Avançada Carlos Chagas	Quinta-feira	12	7	16	29	81	79	79	100	84	70	100	95	82	91	78	53	55	62	47	28	21	16	1	5
05/01/2024	Unidade Avançada Carlos Chagas	Sexta-feira	5	3	15	25	73	100	100	100	100	77	64	100	92	81	62	59	88	42	51	39	0	10	8	11
06/01/2024	Unidade Avançada Carlos Chagas	Sábado	6	3	10	24	43	66	67	64	59	58	80	92	51	62	51	57	47	48	36	48	28	25	20	17
07/01/2024	Unidade Avançada Carlos Chagas	Domingo	1	18	11	15	18	16	29	41	40	39	36	41	36	48	55	1	33	40	43	33	33	17	18	19
08/01/2024	Unidade Avançada Carlos Chagas	Segunda-feira	6	12	19	35	35	100	100	100	100	100	100	100	100	91	50	49	41	34	38	30	23	24	3	11
09/01/2024	Unidade Avançada Carlos Chagas	Terça-feira	7	11	19	31	65	99	100	100	100	94	81	65	59	57	72	47	52	43	40	33	25	23	13	15
10/01/2024	Unidade Avançada Carlos Chagas	Quarta-feira	5	7	10	22	69	88	84	79	69	64	80	88	62	64	64	57	55	44	35	31	19	20	10	1
11/01/2024	Unidade Avançada Carlos Chagas	Quinta-feira	6	7	11	21	73	100	95	87	78	68	62	55	70	64	38	42	36	32	27	9	11	10	12	2
12/01/2024	Unidade Avançada Carlos Chagas	Sexta-feira	2	11	14	45	76	100	85	83	65	85	97	74	64	74	89	64	48	36	27	34	21	12	2	0
13/01/2024	Unidade Avançada Carlos Chagas	Sábado	1	11	19	11	30	39	51	52	43	43	35	24	36	32	47	52	43	37	42	31	26	14	21	6
14/01/2024	Unidade Avançada Carlos Chagas	Domingo	13	7	7	12	14	19	24	19	23	31	27	29	25	31	30	30	32	32	24	31	28	22	26	6
15/01/2024	Unidade Avançada Carlos Chagas	Segunda-feira	6	5	8	26	52	94	83	85	78	62	79	82	77	70	64	57	60	48	54	50	38	33	17	12
16/01/2024	Unidade Avançada Carlos Chagas	Terça-feira	12	12	10	39	69	74	68	100	65	74	87	86	76	90	80	49	51	51	42	32	20	21	17	8
17/01/2024	Unidade Avançada Carlos Chagas	Quarta-feira	3	4	19	29	59	76	77	82	81	75	65	83	52	67	61	57	52	48	22	28	16	15	12	1
