	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2023-08-28	53.458333333333336	62.5	47.875	70.125	45.958333333333336	53.666666666666664	56.166666666666664	42.583333333333336	58.625	48.708333333333336	38.916666666666664	47.333333333333336	55.541666666666664	61.625	57.833333333333336	65.33333333333333	64.375
2023-08-29	48.708333333333336	65.45833333333333	47.416666666666664	73.0	50.458333333333336	66.08333333333333	45.0	50.5	59.166666666666664	54.833333333333336	45.833333333333336	51.125	60.041666666666664	66.33333333333333	57.041666666666664	69.41666666666667	62.75
2023-08-30	49.541666666666664	70.0	48.041666666666664	72.41666666666667	43.916666666666664	64.0	66.33333333333333	47.583333333333336	65.375	50.291666666666664	45.125	40.875	61.208333333333336	67.25	59.833333333333336	68.54166666666667	64.33333333333333
2023-08-31	52.458333333333336	65.0	57.0	73.33333333333333	44.75	68.875	60.541666666666664	44.083333333333336	64.70833333333333	46.916666666666664	48.25	45.875	58.041666666666664	69.20833333333333	53.083333333333336	62.541666666666664	71.0
2023-09-01	56.375	65.58333333333333	50.208333333333336	75.875	44.5	63.916666666666664	51.791666666666664	55.5	67.20833333333333	57.583333333333336	35.041666666666664	45.666666666666664	64.5	69.66666666666667	53.458333333333336	60.333333333333336	70.83333333333333
2023-09-02	46.125	53.458333333333336	53.083333333333336	63.541666666666664	32.791666666666664	63.833333333333336	60.333333333333336	36.541666666666664	47.541666666666664	38.833333333333336	34.708333333333336	27.208333333333332	46.791666666666664	61.166666666666664	41.791666666666664	57.083333333333336	64.5
2023-09-03	45.875	43.875	41.166666666666664	52.583333333333336	34.375	50.916666666666664	33.666666666666664	37.083333333333336	34.375	39.541666666666664	37.708333333333336	23.416666666666668	28.375	55.791666666666664	45.916666666666664	51.5	58.75
2023-09-04	54.916666666666664	64.95833333333333	51.875	74.75	47.25	63.458333333333336	51.708333333333336	48.916666666666664	59.208333333333336	61.916666666666664	43.75	48.666666666666664	55.75	71.08333333333333	54.208333333333336	72.58333333333333	74.58333333333333
2023-09-05	53.0	56.75	57.166666666666664	76.25	45.208333333333336	64.41666666666667	57.958333333333336	47.75	57.125	56.916666666666664	33.708333333333336	47.0	62.75	63.458333333333336	60.333333333333336	61.25	67.91666666666667
2023-09-06	50.25	62.75	57.0	73.66666666666667	40.958333333333336	60.333333333333336	61.82608695652174	44.625	57.666666666666664	52.583333333333336	35.166666666666664	45.625	61.375	67.25	56.416666666666664	58.416666666666664	64.125
2023-09-07	36.916666666666664	44.75	39.041666666666664	54.875	33.5	54.083333333333336	39.708333333333336	35.0	38.458333333333336	41.458333333333336	26.875	24.458333333333332	36.708333333333336	48.333333333333336	39.041666666666664	50.958333333333336	51.458333333333336
2023-09-08	48.458333333333336	58.625	50.916666666666664	67.95833333333333	39.0	57.5	70.0	42.166666666666664	43.69565217391305	52.833333333333336	27.47826086956522	38.541666666666664	49.875	62.208333333333336	48.833333333333336	59.25	61.125
2023-09-09	42.833333333333336	52.458333333333336	59.0	59.041666666666664	36.875	52.75	52.25	37.958333333333336	34.916666666666664	37.75	25.875	23.375	37.75	47.958333333333336	45.5	51.708333333333336	47.666666666666664
2023-09-10	44.666666666666664	46.958333333333336	44.43478260869565	43.333333333333336	37.666666666666664	44.708333333333336	53.791666666666664	29.583333333333332	32.166666666666664	42.791666666666664	24.916666666666668	18.583333333333332	25.666666666666668	42.666666666666664	31.75	52.208333333333336	47.291666666666664
2023-09-11	49.5	55.041666666666664	59.458333333333336	72.58333333333333	50.25	60.625	52.541666666666664	51.625	67.70833333333333	64.95833333333333	34.625	56.708333333333336	52.208333333333336	64.95833333333333	51.0	64.66666666666667	69.33333333333333
2023-09-12	52.0	67.79166666666667	61.333333333333336	78.70833333333333	55.416666666666664	65.625	73.625	53.708333333333336	69.75	59.666666666666664	41.541666666666664	45.708333333333336	62.458333333333336	69.5	59.541666666666664	67.0	77.0
2023-09-13	53.375	63.583333333333336	51.541666666666664	75.58333333333333	50.75	68.125	62.833333333333336	52.416666666666664	63.333333333333336	61.375	39.65217391304348	50.166666666666664	60.416666666666664	69.33333333333333	66.625	68.25	69.45833333333333
2023-09-14	47.25	64.41666666666667	55.083333333333336	70.54166666666667	44.458333333333336	61.916666666666664	52.208333333333336	53.375	61.708333333333336	64.41666666666667	35.541666666666664	48.875	58.208333333333336	71.75	54.333333333333336	61.75	70.58333333333333
