	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2023-09-30	45.714285714285715	50.84523809523809	47.148809523809526	58.4404761904762	42.535714285714285	62.089285714285715	58.91666666666667	50.922619047619044	48.922619047619044	55.0595238095238	41.095238095238095	41.577380952380956	46.607142857142854	56.648809523809526	49.898809523809526	59.547619047619044	54.81262939958593
2023-10-07	34.101190476190474	30.7202380952381	32.55952380952381	37.36309523809524	39.232142857142854	47.82142857142857	58.36904761904761	45.410714285714285	42.863095238095234	50.023809523809526	39.87965838509317	43.797619047619044	31.470238095238095	44.61309523809524	46.047619047619044	51.035714285714285	41.898809523809526
2023-10-14	29.714285714285715	26.684523809523807	25.690476190476193	31.892857142857142	35.476190476190474	37.86904761904761	56.61309523809524	38.3154761904762	41.11309523809524	44.42857142857143	38.36904761904761	32.482142857142854	25.309523809523814	37.50595238095239	42.232142857142854	47.422619047619044	42.75
2023-10-21	34.595238095238095	33.732142857142854	29.678571428571427	32.017857142857146	44.06547619047619	40.749482401656316	39.107142857142854	42.35119047619048	44.32142857142857	43.08333333333333	45.40864389233955	40.101190476190474	25.482142857142858	45.375	43.160714285714285	47.49560041407868	46.0
2023-10-28	36.95833333333333	34.261904761904766	32.918219461697724	33.19642857142857	51.33333333333333	43.49404761904761	43.75	48.964285714285715	44.339285714285715	45.595238095238095	50.732142857142854	37.654761904761905	28.160714285714285	46.875	40.839285714285715	46.357142857142854	46.25
2023-11-04	42.017857142857146	44.017857142857146	36.648809523809526	35.20833333333333	50.25	45.99404761904761	35.779761904761905	55.25595238095237	39.327380952380956	42.75595238095237	49.714285714285715	32.0	28.11904761904762	48.363095238095234	16.62085921325052	47.32142857142857	43.327380952380956
2023-11-11	46.91666666666667	43.68452380952381	38.232142857142854	37.50595238095239	54.699016563147	46.44642857142857	40.047619047619044	57.91666666666667	41.92857142857143	40.845238095238095	44.87163561076604	32.36413043478261	29.779761904761905	48.702380952380956	15.154761904761903	41.987836438923395	43.610248447204974
2023-11-18	39.66818249038746	53.46785714285714	38.56802721088435	46.089285714285715	58.72619047619048	42.470238095238095	28.143374741200827	49.85119047619048	37.726190476190474	39.648809523809526	45.22023809523809	32.226190476190474	34.306277056277054	44.99404761904761	17.71972049689441	45.357142857142854	45.18452380952381
2023-12-16	44.55357142857143	37.92857142857143	39.36904761904763	45.67857142857143	45.351190476190474	47.85973084886128	48.38095238095239	44.08333333333333	44.83333333333333	51.589285714285715	38.017857142857146	40.63095238095239	48.029761904761905	46.13095238095239	58.91666666666667	45.88690476190476	52.625
2023-12-23	46.24404761904761	32.57142857142857	48.857142857142854	50.56547619047619	46.50297619047619	51.45833333333333	45.00190570299266	41.68835034013606	41.86904761904761	49.60741341991342	42.8125	41.87619047619047	53.55399659863946	51.06428571428571	36.345238095238095	48.79166666666667	56.23571428571429
2024-01-06	55.035714285714285	48.24404761904761	45.261904761904766	52.726190476190474	54.113095238095234	60.845238095238095	39.35056465273856	51.482142857142854	50.357142857142854	48.845238095238095	57.125	47.75	49.80952380952381	56.67857142857143	36.82142857142857	56.80357142857143	58.863095238095234
2024-01-13	46.785714285714285	41.476190476190474	38.095238095238095	43.875	45.86309523809524	45.23809523809524	37.910714285714285	45.94047619047619	40.839285714285715	45.07142857142857	50.99404761904761	43.63095238095239	41.047619047619044	47.32142857142857	42.92857142857143	54.839285714285715	47.79761904761905
